,,,
Plant Name,State,Latitude,Longitude
Sand Point,AK,55.339722,-160.497222
Bankhead Dam,AL,33.458665,-87.356823
Barry,AL,31.006900,-88.010300
Walter Bouldin Dam,AL,32.583889,-86.283056
Gadsden,AL,34.012800,-85.970800
Gorgas,AL,33.644344,-87.196486
Copper,TX,31.756900,-106.375000
Greene County,AL,32.601700,-87.781100
H Neely Henry Dam,AL,33.784500,-86.052400
Holt Dam,AL,33.255300,-87.449500
Jordan Dam,AL,32.618900,-86.254800
Logan Martin Dam,AL,33.425878,-86.337547
Lay Dam,AL,32.963300,-86.518700
Martin Dam,AL,32.680394,-85.911442
Mitchell Dam,AL,32.806025,-86.444892
Lewis Smith Dam,AL,33.940600,-87.107700
Thurlow Dam,AL,32.535436,-85.887614
Weiss Dam,AL,34.172142,-85.753806
Yates Dam,AL,32.574300,-85.890100
E C Gaston,AL,33.244211,-86.458056
Madelia,MN,44.050100,-94.417800
Rollins,CA,39.134259,-120.953341
Millers Ferry,AL,32.100881,-87.399767
Browns Ferry,AL,34.704200,-87.118900
Colbert,AL,34.743900,-87.848600
Guntersville,AL,34.421272,-86.393931
Wheeler Dam,AL,34.806900,-87.381900
Widows Creek,AL,34.883022,-85.755253
Dolet Hills,LA,32.030556,-93.569167
Gantt,AL,31.403300,-86.479469
J K Smith,KY,37.883300,-84.101700
Point A,AL,31.361146,-86.518307
Lowman Energy Center,AL,31.488019,-87.910747
Platte,NE,40.854765,-98.348222
Whelan Energy Center,NE,40.580872,-98.312437
Annex Creek,AK,58.317600,-134.101000
Gold Creek,AK,58.310700,-134.417400
Lemon Creek,AK,58.353600,-134.495300
Salmon Creek 1,AK,58.326900,-134.463100
Skagway,AK,59.454500,-135.313100
Haines,AK,59.235931,-135.446228
Swan Lake,AK,55.615208,-131.356111
Terror Lake Microgrid,AK,57.686100,-152.895000
Venice Hydro,CA,34.011350,-118.416800
Hank Nikkels Plant 1,AK,61.222100,-149.866100
Eklutna Hydro Project,AK,61.475211,-149.150090
Snettisham,AK,58.141500,-133.737000
Chena Power Plant,AK,64.847743,-147.735063
Ketchikan,AK,55.344641,-131.633425
S W Bailey,AK,55.357397,-131.696960
Escalante,NM,35.415900,-108.082000
Ashokan,NY,41.949000,-74.206300
Snake River,AK,64.505331,-165.429814
Petersburg,AK,56.811040,-132.957091
Seward (AK),AK,60.130922,-149.435010
Blue Lake Hydro,AK,57.051600,-135.229700
Wrangell,AK,56.460976,-132.379439
Beluga,AK,61.186100,-151.035600
Frederickson,WA,47.079722,-122.365000
South Consolidated,AZ,33.466477,-111.781064
J S Eastwood,CA,37.147926,-119.256700
Holcomb,KS,37.930800,-100.972500
Dillingham,AK,59.042914,-158.468597
Childs,AZ,34.351111,-111.700556
Cholla,AZ,34.939400,-110.303300
Douglas,AZ,31.364122,-109.553800
Irving,AZ,34.402222,-111.617222
Ocotillo,AZ,33.422500,-111.912200
West Phoenix,AZ,33.441700,-112.158300
Saguaro,AZ,32.551700,-111.300000
Yucca,AZ,32.721400,-114.710600
Demoss Petrie,AZ,32.252273,-110.992148
H Wilson Sundt Generating Station,AZ,32.160000,-110.904700
Cross,SC,33.371506,-80.113235
Seminole (FL),FL,29.733056,-81.632778
Agua Fria,AZ,33.556100,-112.215300
Crosscut,AZ,33.439375,-111.946052
Horse Mesa,AZ,33.590700,-111.344000
Kyrene,AZ,33.355600,-111.935300
Mormon Flat,AZ,33.553600,-111.443100
Roosevelt,AZ,33.671104,-111.161786
Stewart Mountain,AZ,33.566100,-111.536000
McClure,CA,37.629360,-120.931390
Davis Dam,AZ,35.197044,-114.570669
Glen Canyon Dam,AZ,36.936614,-111.483872
Hoover Dam (NV),NV,36.015510,-114.738006
Lake Creek Dam,UT,40.493631,-111.312506
Apache Station,AZ,32.060300,-109.893100
Turlock Lake,CA,37.611461,-120.594678
Hickman,CA,37.621536,-120.746247
Big Pine,FL,24.579167,-81.685000
GREC,OK,36.190278,-95.289400
Carpenter,AR,34.442500,-93.026200
Cecil Lynch,AR,34.753500,-92.198700
Hamilton Moses,AR,34.980600,-90.872200
Harvey Couch,AR,33.359200,-93.464900
Lake Catherine,AR,34.434100,-92.904900
Mabelvale,AR,34.635997,-92.409602
Osceola (AR),AR,35.705381,-89.968900
Robert E Ritchie,AR,34.462900,-90.598700
Remmel,AR,34.427200,-92.894100
Volta 2,CA,40.451930,-121.862150
Beaver Dam (AR),AR,36.421507,-93.847373
Degray,AR,34.211913,-93.110963
Greers Ferry Lake,AR,35.520700,-91.995300
Paragould,AR,36.060556,-90.521389
Municipal Light,AR,36.385800,-90.186700
Narrows (AR),AR,34.148427,-93.715168
Norfork,AR,36.249100,-92.240100
Blakely Mountain,AR,34.570984,-93.194425
Bull Shoals,AR,36.363500,-92.576300
Dardanelle,AR,35.250300,-93.168600
Thomas Fitzhugh,AR,35.462382,-93.804926
Carl Bailey,AR,35.260102,-91.363426
McClellan (AR),AR,33.564800,-92.791700
Clinton Power Station,IL,40.171900,-88.833900
St Johns River Power Park,FL,30.430800,-81.550800
Wolf Creek Generating Station,KS,38.239260,-95.689780
Alta Powerhouse,CA,39.215979,-120.803550
Angels,CA,38.071944,-120.539444
Balch 1,CA,36.909137,-119.087712
Balch 2,CA,36.908907,-119.087556
Belden,CA,40.007445,-121.249438
Bucks Creek,CA,39.910620,-121.327692
Butt Valley,CA,40.175656,-121.190663
Caribou 1,CA,40.085476,-121.148241
Caribou 2,CA,40.085997,-121.149373
Centerville PH,CA,39.788877,-121.657383
Chili Bar,CA,38.771764,-120.813239
